token	lemma	pos	morphosyntactic_features	author	text_id	title	line_number
habitasse	habito	VERB	{VerbForm: [infinitive, infinitive], Tense: [past], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	2
lares	lar	NOUN	{Case: [accusative], Gender: [masculine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	2
.	.	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	2
Quo	qui	ADV	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	3
non	non	PART	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	3
arma	arma	NOUN	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	3
tulit	fero	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	3
pugnax	pugnax	ADJ	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	3
septentrio	septentrius	NOUN	{Case: [ablative], Gender: [neuter], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	3
?	?	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	3
Quis	quis	PRON	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	3
non	non	PART	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	3
Incubuit	incubuit	VERB	{VerbForm: [infinitive, infinitive], Tense: [past], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	4
mundi	mundus	NOUN	{Case: [genitive], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	4
gens	gens	NOUN	{Case: [nominative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	4
animosa	animosus	ADJ	{Case: [nominative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	4
plagis	plaga	NOUN	{Case: [ablative], Gender: [feminine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	4
?	?	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	4
Crebrius	Crebrius	PROPN	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	5
inprimis	inprimus	ADJ	{Case: [ablative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	5
vicino	uicinum	ADJ	{Case: [ablative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	5
cardine	carden	NOUN	{Case: [ablative], Gender: [neuter], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	5
moti	moueo	VERB	{Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	5
Irarum	Irarum	NOUN	{Case: [genitive], Gender: [masculine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	6
nimbi	nimbi	NOUN	{Case: [nominative], Gender: [feminine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	6
detonuere	detonuo	VERB	{Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	6
graves	grauis	ADJ	{Case: [nominative], Gender: [masculine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	6
Praelia	Praelia	ADJ	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	7
quis	quis	PRON	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	7
nescit	nescio	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	7
vel	uel	CCONJ	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	7
bellatricia	bellatricius	ADJ	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	7
rostra	rostrum	NOUN	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	7
In	in	ADP	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	8
gremio	gremium	NOUN	{Case: [ablative], Gender: [neuter], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	8
Baltes	Baltes	NOUN	{Case: [accusative], Gender: [feminine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	8
in	in	ADP	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	8
Boreae	Borea	PROPN	{Case: [genitive], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	8
que	que	NOUN	{Case: [genitive], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	8
sinu	sinus	NOUN	{Case: [ablative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	8
?	?	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	8
Sed	sed	CCONJ	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	9
superat	supero	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	9
veteres	uetus	ADJ	{Case: [accusative], Gender: [masculine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	9
sors	sors	NOUN	{Case: [nominative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	9
nostra	noster	ADJ	{Case: [nominative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	9
novissima	novissimus	ADJ	{Case: [nominative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	9
casus	casus	NOUN	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	9
Vidimus	Vidimus	VERB	{Mood: [indicative], Number: [plural], Person: [first], Tense: [present], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	10
hoc	hic	DET	{Case: [ablative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	10
aevo	aevum	NOUN	{Case: [ablative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	10
bella	bellum	NOUN	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	10
stupenda	stupeo	VERB	{Case: [accusative], Gender: [neuter], VerbForm: [gerundive, participle], Number: [plural], Tense: [future], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	10
magis	magis	ADV	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	10
.	.	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	10
Post	Post	ADP	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	11
domitos	domitus	ADJ	{Case: [accusative], Gender: [masculine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	11
populos	populus	NOUN	{Case: [accusative], Gender: [masculine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	11
,	,	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	11
post	post	ADP	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	11
regna	regnum	NOUN	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	11
impleta	impleo	VERB	{Case: [accusative], Gender: [neuter], Number: [plural], VerbForm: [participle], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	11
tropaeis	tropaeum	NOUN	{Case: [ablative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	11
,	,	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	11
Qua	qui	PRON	{Case: [ablative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	12
vagus	uagus	ADJ	{Case: [nominative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	12
effusa	effundo	VERB	{Case: [ablative], Gender: [feminine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	12
Vistula	Vistula	PROPN	{Case: [accusative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	12
mole	mole	NOUN	{Case: [ablative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	12
fluit	fluo	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	12
.	.	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	12
Pergebat	Pergebat	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	13
Cimbras	Cimbra	PROPN	{Case: [accusative], Gender: [masculine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	13
Carolus	Carolus	PROPN	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	13
Gustavus	Gustavus	PROPN	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	13
ad	ad	ADP	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	13
oras	ora	NOUN	{Case: [accusative], Gender: [feminine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	13
,	,	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	13
Ulturus	Ulturus	PROPN	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	14
ruptam	ruptam	VERB	{Case: [accusative], Gender: [feminine], Number: [singular], VerbForm: [participle], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	14
per	per	ADP	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	14
fera	ferus	ADJ	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	14
bella	bellum	NOUN	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	14
fidem	fides	NOUN	{Case: [accusative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	14
Jam	Jam	PROPN	{Case: [genitive], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	15
que	que	CCONJ	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	15
rates	ratis	NOUN	{Case: [accusative], Gender: [feminine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	15
Pelago	Pelagus	PROPN	{Case: [dative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	15
vecturas	vectura	NOUN	{Case: [accusative], Gender: [feminine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	15
castra	castra	NOUN	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	15
parabat	paro	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	15
,	,	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	15
Allatura	allatura	PROPN	{Case: [ablative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	16
moram	mora	NOUN	{Case: [accusative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	16
frigora	frigor	ADJ	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	16
sola	solus	ADJ	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	16
timens	timeo	VERB	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	16
Fit	fio	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	17
compos	compos	ADJ	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	17
voti	uotum	NOUN	{Case: [genitive], Gender: [neuter], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	17
Rex	Rex	PROPN	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	17
per	per	ADP	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	17
contraria	contrarius	ADJ	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	17
votis	uotum	NOUN	{Case: [ablative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	17
,	,	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	17
Dum	dum	SCONJ	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	18
fuit	sum	AUX	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	18
in	in	ADP	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	18
nostris	noster	ADJ	{Case: [ablative], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	18
partibus	pars	NOUN	{Case: [ablative], Gender: [feminine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	18
acris	acer	ADJ	{Case: [ablative], Gender: [feminine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	18
hiems	hiems	NOUN	{Case: [nominative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	18
;	;	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	18
Sidere	Sido	VERB	{VerbForm: [infinitive, infinitive], Tense: [present], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	19
praegelido	praegelidus	ADJ	{Case: [ablative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	19
mox	mox	ADV	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	19
Arctos	Arctos	PROPN	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	19
inhorruit	inhorreo	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	19
omnis	omnis	ADJ	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	19
,	,	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	19
Atque	atque	CCONJ	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	20
incrustatas	incrustatas	VERB	{Case: [accusative], Gender: [feminine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	20
consolidavit	consolido	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	20
aquas	aqua	NOUN	{Case: [accusative], Gender: [feminine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	20
.	.	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	20
Vertitur	Verto	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	21
in	in	ADP	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	21
Pontem	Pons	PROPN	{Case: [accusative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	21
Pontus	Pontus	PROPN	{Case: [genitive], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	21
,	,	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	21
laquear	laquear	VERB	{Mood: [subjunctive], Number: [singular], Person: [first], Tense: [present], VerbForm: [finite], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	21
que	que	PRON	{Case: [nominative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	21
fit	fio	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	21
aequor	aequor	ADJ	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	21
,	,	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	21
In	in	ADP	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	22
que	qui	DET	{Case: [accusative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	22
soli	solum	NOUN	{Case: [genitive], Gender: [neuter], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	22
speciem	species	NOUN	{Case: [accusative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	22
cogitur	cogo	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	22
omne	omnis	ADJ	{Case: [nominative], Gender: [neuter], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	22
salum	salum	NOUN	{Case: [nominative], Gender: [neuter], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	22
.	.	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	22
Persultant	Persultant	VERB	{Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	23
aciem	acies	NOUN	{Case: [accusative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	23
florentes	floreo	VERB	{Case: [accusative], Gender: [masculine], Number: [plural], VerbForm: [participle], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	23
aere	aer	NOUN	{Case: [ablative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	23
catervae	catervae	NOUN	{Case: [accusative], Gender: [feminine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	23
,	,	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	23
Arctoas	Arctoas	PROPN	{Case: [genitive], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	24
que	que	NOUN	{Case: [genitive], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	24
acies	acies	NOUN	{Case: [nominative], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	24
marmora	marmor	NOUN	{Case: [nominative], Gender: [neuter], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	24
salsa	sallo	VERB	{Case: [accusative], Gender: [neuter], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	24
ferunt	fero	VERB	{Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	24
Magnanimus	magnanimus	PROPN	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	25
laetas	laeta	VERB	{Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	25
